#,Название,Описание,,,,
36,Букет из чипсов,Девочки собрали. Мальчики оценили.,"bouquet made of chips bags and chocolate bars wrapped like flowers, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
37,Фото супергероя,Нейронка постаралась. Портрет получился.,"AI generated superhero portrait photo printed on paper, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
38,Шаурма Ларена,Большая. Вкусная. Из Ботли.,"large shawarma wrap, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
39,Плоскогубцы,Максим знал что прислать. Дискорд не оценил.,"pliers tool, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
40,Наклейки,Дни недели — наглядно.,"sheet of sticker labels with days of week, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
41,Глумхевен,"Играли не все. Но те, кто играл, хотят ещё.","Gloomhaven board game box, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
42,Бэби фокс,В офисе есть. Но на всех может не хватить.,"Baby Fox candy sweets package, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
43,Ящик алкоголя,Остаётся после корпората. На всякий случай.,"wooden crate box with alcohol bottles inside, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
44,Букет,Девушкам на праздник. Всегда работает.,"classic flower bouquet wrapped in paper, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
45,Розовый корпус,Самый мужественный выбор в офисе.,"pink PC computer case tower, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
46,Наушники с ушками,Просили все. Ушки теперь в каждом углу офиса.,"headphones with cute animal ears on top, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
47,Подушка и одеяло,Диван в дизайнерской ждёт.,"soft pillow and folded blanket together, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
48,Шампанское,Целуйте детей. Открывайте шампанское.,"champagne bottle with cork popping, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
49,Коробка телефонов,Семь штук. Из-под пазлов. Кто-то опять взял.,"open puzzle box filled with multiple smartphones, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
50,Планшет,"Тестовый телефон, который слегка перерос.","tablet device, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,"Предметы, которым нужен референс",,
,,,,#,Название,Что нужно
,,,,9,Коптер,Скриншот коптера из игры Cendterra
,,,,10,Сундук,Скриншот сундука из игры Cendterra
,,,,15,Подписка на Perplexity,Попробуй сначала — может не распознать логотип
,,,,18,Фреди и Фортуна,Арт или скриншот персонажей из игры Лотто
